Date,Close/Last,Open,High,Low
08/29/2025,21455.55,21630.33,21631.15,21397.98
08/28/2025,21705.16,21619.27,21742.46,21534.94
08/27/2025,21590.14,21526.33,21616.17,21476.30
08/26/2025,21544.27,21443.63,21550.92,21389.10
08/25/2025,21449.29,21466.47,21572.18,21400.08
08/22/2025,21496.53,21139.83,21545.43,21092.35
08/21/2025,21100.31,21112.52,21198.76,21013.53
08/20/2025,21172.86,21269.67,21269.67,20905.99
08/19/2025,21314.95,21607.45,21610.24,21277.71
08/18/2025,21629.77,21616.82,21651.50,21559.33
08/15/2025,21622.98,21709.34,21716.18,21567.46
08/14/2025,21710.67,21649.21,21766.29,21627.13
08/13/2025,21713.14,21764.55,21803.75,21645.14
08/12/2025,21681.90,21507.44,21689.68,21386.25
08/11/2025,21385.40,21459.65,21549.73,21346.62
08/08/2025,21450.02,21316.37,21464.53,21284.97
08/07/2025,21242.70,21325.01,21408.15,21090.05
08/06/2025,21169.42,20955.22,21183.88,20937.49
08/05/2025,20916.55,21092.10,21138.72,20893.29
08/04/2025,21053.58,20853.91,21055.24,20833.86
08/01/2025,20650.13,20830.64,20865.63,20560.17
07/31/2025,21122.45,21457.48,21457.48,21078.67
07/30/2025,21129.67,21140.40,21230.88,21016.92
07/29/2025,21098.29,21286.73,21303.96,21081.69
07/28/2025,21178.58,21176.40,21202.18,21122.12
07/25/2025,21108.32,21059.94,21159.80,21036.85
07/24/2025,21057.96,21083.82,21113.10,21001.68
07/23/2025,21020.02,20966.47,21023.85,20870.67
07/22/2025,20892.68,20982.21,20985.34,20750.90
07/21/2025,20974.17,20960.33,21077.37,20957.44
07/18/2025,20895.66,20959.57,20980.56,20846.12
07/17/2025,20885.65,20760.32,20911.83,20735.55
07/16/2025,20730.49,20717.81,20751.05,20507.06
07/15/2025,20677.80,20822.76,20836.04,20670.58
07/14/2025,20640.33,20592.56,20672.34,20492.63
07/11/2025,20585.53,20562.88,20647.98,20509.75
07/10/2025,20630.66,20636.48,20655.39,20495.14
07/09/2025,20611.34,20522.09,20645.41,20486.38
07/08/2025,20418.46,20466.93,20480.89,20377.35
07/07/2025,20412.52,20490.55,20511.82,20323.02
07/03/2025,20601.10,20497.66,20624.51,20480.22
07/02/2025,20393.13,20184.37,20397.22,20181.74
07/01/2025,20202.89,20290.61,20339.05,20105.42
06/30/2025,20369.73,20360.15,20418.31,20266.36
06/27/2025,20273.46,20217.26,20311.51,20095.05
06/26/2025,20167.91,20062.19,20187.15,19982.48
06/25/2025,19973.55,20013.95,20052.78,19918.08
06/24/2025,19912.53,19809.61,19946.72,19795.29
06/23/2025,19630.97,19427.01,19643.70,19334.98
06/20/2025,19447.41,19639.41,19696.11,19380.58
06/18/2025,19546.27,19526.92,19660.77,19489.56
06/17/2025,19521.09,19627.08,19666.56,19485.44
06/16/2025,19701.21,19550.75,19733.31,19550.75
06/13/2025,19406.83,19450.92,19591.87,19367.42
06/12/2025,19662.48,19578.87,19690.61,19553.56
06/11/2025,19615.88,19779.35,19800.46,19551.34
06/10/2025,19714.99,19620.11,19730.38,19539.09
06/09/2025,19591.24,19573.14,19637.56,19531.10
06/06/2025,19529.95,19526.99,19593.18,19464.84
06/05/2025,19298.45,19518.20,19610.51,19226.22
06/04/2025,19460.49,19434.94,19493.45,19359.09
06/03/2025,19398.96,19288.66,19459.28,19224.70
06/02/2025,19242.61,19063.06,19252.71,18985.30
05/30/2025,19113.77,19131.22,19157.78,18847.74
05/29/2025,19175.87,19389.39,19389.39,19091.54
05/28/2025,19100.94,19232.62,19276.83,19084.38
05/27/2025,19199.16,19014.44,19210.95,18961.69
05/23/2025,18737.21,18622.38,18841.52,18599.69
05/22/2025,18925.73,18888.05,19061.11,18840.34
05/21/2025,18872.64,19002.94,19241.41,18799.20
05/20/2025,19142.71,19132.06,19186.68,19015.63
05/19/2025,19215.46,18937.42,19227.22,18937.42
05/16/2025,19211.10,19151.54,19213.42,19038.48
05/15/2025,19112.32,19031.24,19207.22,18967.78
